id,title,artists,pp_artist
7cGFbx7MP0H23iHZTZpqMM,Everybody,['Logic'],Logic
3Sz9VwghywEClUXq8vzt2b,Patty Cake,['Kodak Black'],Kodak Black
52OInUlQusYhJ6L3zMVLpM,Twenty 8,['Kodak Black'],Kodak Black
4eiOk988Prwe5MQnnQtglt,Up in Here,['Kodak Black'],Kodak Black
6YOgXjBp1fLqnZfKLCNYhd,Day for Day,['Kodak Black'],Kodak Black
6OK2jHQub9ZMGD1blTvprV,Conscience (feat. Future),"['Kodak Black', 'Future']",Kodak Black / Future
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,['Khalid'],Khalid
4ZT9EKb1iN9Cd5omcHcfoZ,We Want Some P--sy,['2 LIVE CREW'],2 LIVE CREW
4E5rL7YL0hVUPqeMSpjEF2,Yesterday - Remastered 2015,['The Beatles'],The Beatles
0aOf8m2Y7eGsV17WsuH8Xj,YESTERDAY,['Block B'],Block B
1WIfWj5skn5UUZTs4cEFBe,Location,['Khalid'],Khalid
03D2t5wn77cpCxH8p99ZvA,BODY,['MINO'],MINO
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,['Drake'],Drake
343YBumqHu19cGoGARUTsd,Fake Love,['Drake'],Drake
3wrP2GVxWH8VpHPOsKhYgz,Zero,['Chris Brown'],Chris Brown
2FWquqPNxte8iqZ3ATQG0p,All I Wanna Do (K) (Feat. Hoody & Loco),"['Jay Park', 'Hoody', 'Loco']",Jay Park / Hoody / Loco
6fOqEAXCwboCO4BdzbZG1K,La La Latch (Sam Smith/Disclosure/Naughty Boy Mashup),['Pentatonix'],Pentatonix
3LnOF5n1GOs01siYZXzS3p,Drowning (feat. Kodak Black),"['A Boogie Wit da Hoodie', 'Kodak Black']",A Boogie Wit da Hoodie / Kodak Black
1Rvl8qsKJurfFTyWLBI9ib,"Baby, I Love Your Way","['Big Mountain', 'Tom Lord-Alge']",Big Mountain / Tom Lord-Alge
2vzn8usBcuNL93DnTjEK0z,LOSER,['BIGBANG'],BIGBANG
3lYvepDz6yYj29z7e4r5z0,FXXK IT,['BIGBANG'],BIGBANG
2xbI8Vmyv3TkpTdywpPyNw,Selfish,['PnB Rock'],PnB Rock
0VgkVdmE4gld66l8iyGjgx,Mask Off,['Future'],Future
