id,title,artists,pp_artist
2073QOEC8rBtSyTsRyaWiP,I Can Change,['LCD Soundsystem'],LCD Soundsystem
4BY4V1T0RJK1HmD2Q0ClyK,Oblivion,['Grimes'],Grimes
6zfczP87XO2SxWlQtnjFNa,The Look,['Metronomy'],Metronomy
0SVvyfRMFMRJzc0L2odX20,Fill in the Blank,['Car Seat Headrest'],Car Seat Headrest
34OYZJDVLJC0HS401190FN,Desire Lines,['Deerhunter'],Deerhunter
6dux5viG3Ku3IefPx3gFNT,Dog Days Are Over,['Florence + The Machine'],Florence + The Machine
0Cr3j6qhDItBeFbAzdXtN2,VCR,['The xx'],The xx
1SN1gifVAKecU85lZggS8k,No Reptiles,['Everything Everything'],Everything Everything
4yYvWFUWMaKMXtoJKJnmZk,Shuffle,['Bombay Bicycle Club'],Bombay Bicycle Club
61qxP4Vs5DVX0Ic4GnBklu,Every Time the Sun Comes Up,['Sharon Van Etten'],Sharon Van Etten
2Y28HmBMyRrCgL0PTbkP7O,What's It All For?,['Yellow Days'],Yellow Days
1jy7SkRcmBCTcv4ZMtwz29,Loud Places,"['Jamie xx', 'Romy']",Jamie xx / Romy
7fmqJC1yi3tyys0l72F9Ya,I Don't Wanna Be Funny Anymore,['Lucy Dacus'],Lucy Dacus
1f36D2fxgU2Mk1TxS7WhjG,Your Girlfriend,['Blossoms'],Blossoms
54X78diSLoUDI3joC2bjMz,Purple Rain,['Prince'],Prince
1OOtq8tRnDM8kG2gqUPjAj,Beat It,['Michael Jackson'],Michael Jackson
2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],Whitney Houston
6KIKRz9eSTXdNsGUnomdtW,Straight Outta Compton,['N.W.A.'],N.W.A.
1yo16b3u0lptm6Cs7lx4AD,Fight The Power,['Public Enemy'],Public Enemy
52IuMfbQa9aqRPz2oYPAI8,Express Yourself,['N.W.A.'],N.W.A.
3gxEZXUjrNbl3TlSrTGbR5,Modern Love - 2018 Remaster,['David Bowie'],David Bowie
1AHfovSnGPVYKaahRtA0U6,The Message,['Nas'],Nas
6aBUnkXuCEQQHAlTokv9or,This Must Be the Place (Naive Melody) - 2005 Remaster,['Talking Heads'],Talking Heads
4xiyq1iRdsxuU1BPUJ490Z,Close To Me,['The Cure'],The Cure
3VZmChrnVW8JK6ano4gSED,Sexual Healing,['Marvin Gaye'],Marvin Gaye
5tVA6TkbaAH9QMITTQRrNv,Free Fallin',['Tom Petty'],Tom Petty
7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,['Bruce Springsteen'],Bruce Springsteen
4kOfxxnW1ukZdsNbCKY9br,What's Love Got to Do with It,['Tina Turner'],Tina Turner
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,['Tears For Fears'],Tears For Fears
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,['The Police'],The Police
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,['a-ha'],a-ha
1LwP9g1Hjbs64jXM2Qsxry,Just Like Honey,['The Jesus and Mary Chain'],The Jesus and Mary Chain
6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,['U2'],U2
0sKfhhj6hYyJIXnTiZV9vf,The Sweetest Taboo,['Sade'],Sade
4cOdK2wGLETKBW3PvgPWqT,Never Gonna Give You Up,['Rick Astley'],Rick Astley
4czNORk5MjW5WOn98bki32,All Night Long (All Night) - Single Version,['Lionel Richie'],Lionel Richie
2374M0fQpWi3dLnB54qaLX,Africa,['TOTO'],TOTO
2wSAWEYUHkt92X4SBAPqZE,Karma Chameleon - Remastered 2002,['Culture Club'],Culture Club
2dCmGcEOQrMQhMMS8Vj7Ca,Super Freak,['Rick James'],Rick James
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,['The Clash'],The Clash
7o9uu2GDtVDr9nsR7ZRN73,Time After Time,['Cyndi Lauper'],Cyndi Lauper
3MrWxJaD2AT0W9DjWF64Vm,Come On Eileen,['Dexys Midnight Runners'],Dexys Midnight Runners
2yzPBlE5UXK2sqvnNM9QQ0,West End Girls - 2001 Remaster,['Pet Shop Boys'],Pet Shop Boys
2oSpQ7QtIKTNFfA08Cy0ku,It's The End Of The World As We Know It (And I Feel Fine),['R.E.M.'],R.E.M.
2fuCquhmrzHpu5xcA1ci9x,Under Pressure - Remastered 2011,"['Queen', 'David Bowie']",Queen / David Bowie
3fH4KjXFYMmljxrcGrbPj9,Don't You (Forget About Me),['Simple Minds'],Simple Minds
7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - Remastered,['Pixies'],Pixies
0cGG2EouYCEEC3xfa0tDFV,Tainted Love,['Soft Cell'],Soft Cell
5kz9GDBTX846OXwqWoyKzF,We Got The Beat,"[""The Go-Go's""]",The Go-Go's
6sT9MWlJManry3EQwf4V80,Push It,['Salt-N-Pepa'],Salt-N-Pepa
6QG0wcgoCsa9pqFyTg0rRO,Whip It,['DEVO'],DEVO
7wuJGgpTNzbUyn26IOY6rj,Total Eclipse of the Heart,['Bonnie Tyler'],Bonnie Tyler
20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,['Carly Rae Jepsen'],Carly Rae Jepsen
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,"[""Guns N' Roses""]",Guns N' Roses
6JymsaWDHk2Yj4e0yNBIFH,Jump Around,['House Of Pain'],House Of Pain
0gueawLShEbZoAfMaADOkP,The Breaks,['Sarah Proctor'],Sarah Proctor
029NqmIySn1kOY305AAhxT,Sledgehammer,['Peter Gabriel'],Peter Gabriel
5IISDoksKy4dnTauZzAOCc,stable life,['dhruv'],dhruv
2cxbxpHrND6i4uvUGVvC9J,Just a Friend 2002 - Radio Edit,['Mario'],Mario
0qxYx4F3vm1AOnfux6dDxP,You Can Call Me Al,['Paul Simon'],Paul Simon
3gKwVWwKmeuFtPubICbOGc,Paul Revere,['Beastie Boys'],Beastie Boys
18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,['Phil Collins'],Phil Collins
39lSeqnyjZJejRuaREfyLL,Hungry Like the Wolf - 2009 Remaster,['Duran Duran'],Duran Duran
