id,title,artists,pp_artist
20FZrLl9zSbO9b3DhaqO6M,23,"['Mike WiLL Made-It', 'Miley Cyrus', 'Wiz Khalifa', 'Juicy J']",Mike WiLL Made-It / Miley Cyrus / Wiz Khalifa / Juicy J
3DZ8dbKg4OTSSqGARvecYd,Broadway Girls (feat. Morgan Wallen),"['Lil Durk', 'Morgan Wallen']",Lil Durk / Morgan Wallen
1yRke3PmsyFrYlFZOAkABk,half of my hometown (feat. Kenny Chesney),"['Kelsea Ballerini', 'Kenny Chesney']",Kelsea Ballerini / Kenny Chesney
0I5HyoL70WcM3Kgbsn64t3,"Aashiqui Aa Gayi (From ""Radhe Shyam"")",['Arijit Singh'],Arijit Singh
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,['AC/DC'],AC/DC
1dIWPXMX4kRHj6Dt2DStUQ,Chosen (feat. Ty Dolla $ign),"['Blxst', 'Tyga', 'Ty Dolla $ign']",Blxst / Tyga / Ty Dolla $ign
4yNoUQkYf1QF8iYlEzNynH,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","['Nardo Wick', 'G Herbo', 'Lil Durk', '21 Savage']",Nardo Wick / G Herbo / Lil Durk / 21 Savage
0ysCB1Jg4hli0XlEWlipo7,Heart On Fire,['Eric Church'],Eric Church
3z6XUommYDWPHeFhmhhT6j,Message In A Bottle (Taylor's Version) (From The Vault),['Taylor Swift'],Taylor Swift
6UAy9xYeTWjZB7h05p83e9,Cold December,['Rod Wave'],Rod Wave
19ZzEzb4BVK1wVO4brrmZz,Beers On Me,"['Dierks Bentley', 'BRELAND', 'HARDY']",Dierks Bentley / BRELAND / HARDY
1tf4Bfk8JIKryLpWYRvyiI,Whiskey And Rain,['Michael Ray'],Michael Ray
61Emqg95O9zo1GNOcyxq4Y,For Tonight,['Giveon'],Giveon
4GyD3o5hWoyCuYpdlzZlRL,Doin' This,['Luke Combs'],Luke Combs
6ElfCM1XppU0YWkkFYh4s2,Pressure,['Ari Lennox'],Ari Lennox
0BFGDkrXAneskCJdudSCro,Scorpio,['Moneybagg Yo'],Moneybagg Yo
5GYbkDveRD2I8M5ZJ14hWn,Never Say Never,"['Justin Bieber', 'Jaden']",Justin Bieber / Jaden
20on25jryn53hWghthWWW3,Do It To It,"['ACRAZE', 'Cherish']",ACRAZE / Cherish
4SqWKzw0CbA05TGszDgMlc,I Love You So,['The Walters'],The Walters
6AshXllQhobwSXsdpgp41w,Johnny P's Caddy,"['Benny The Butcher', 'J. Cole']",Benny The Butcher / J. Cole
0vR2rIVORmgeKiGIgNT0fV,By Your Side (feat. Tom Grennan),"['Calvin Harris', 'Tom Grennan']",Calvin Harris / Tom Grennan
4X25mFLehFnxa1TwtLKcE2,All Of You,"['Stephanie Beatriz', 'Olga Merediz', 'John Leguizamo', 'Adassa', 'Maluma', 'Encanto - Cast']",Stephanie Beatriz / Olga Merediz / John Leguizamo / Adassa / Maluma / Encanto - Cast
3nsfB1vus2qaloUdcBZvDu,All Too Well (Taylor's Version),['Taylor Swift'],Taylor Swift
4eL3XeuGaEoVT8ttDh3hwY,too easy,"['Gunna', 'Future']",Gunna / Future
13G5xv1wUKvJYbK0wYmioN,Circles Around This Town,['Maren Morris'],Maren Morris
2HHLfzE7PkljuqyYU4vwmh,Me or Sum (feat. Future & Lil Baby),"['Nardo Wick', 'Future', 'Lil Baby']",Nardo Wick / Future / Lil Baby
4hJhHbkhZFnxmWbAkZRoe0,Peru,"['Fireboy DML', 'Ed Sheeran']",Fireboy DML / Ed Sheeran
3BjwSq6phb60SOdTZw5pZY,Beautiful Lies,"['Yung Bleu', 'Kehlani']",Yung Bleu / Kehlani
0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),['Doja Cat'],Doja Cat
6F7UOC6fPWOkPqybOWBHSv,If I Was a Cowboy,['Miranda Lambert'],Miranda Lambert
54COqDgfYUv07Kytm2Ndof,No Switch,['YoungBoy Never Broke Again'],YoungBoy Never Broke Again
2vgUijXOTRMnWXDtvgMp2b,Take My Breath,['The Weeknd'],The Weeknd
5EDtmgwR1lDmDGLZraNpJg,Come Back As A Country Boy,['Blake Shelton'],Blake Shelton
4GKHIuAyQBWSvrVxoej52H,Shotta Flow 6,['NLE Choppa'],NLE Choppa
3kfqYE0jGONOrkVpkPPOd5,Iffy,['Chris Brown'],Chris Brown
