danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,titles
0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,audio_features,4A8cWXxKfIL3lAyUDzXbCF,spotify:track:4A8cWXxKfIL3lAyUDzXbCF,https://api.spotify.com/v1/tracks/4A8cWXxKfIL3lAyUDzXbCF,https://api.spotify.com/v1/audio-analysis/4A8cWXxKfIL3lAyUDzXbCF,200548,4,Kodak Black,Super Gremlin
0.803,0.495,11,-5.724,1,0.321,0.121,0.0,0.104,0.628,80.972,audio_features,15OlC497ScJt9N2BS8lOev,spotify:track:15OlC497ScJt9N2BS8lOev,https://api.spotify.com/v1/tracks/15OlC497ScJt9N2BS8lOev,https://api.spotify.com/v1/audio-analysis/15OlC497ScJt9N2BS8lOev,195154,4,Money Man,LLC (feat. Moneybagg Yo)
0.849,0.631,3,-4.241,0,0.0637,0.171,0.0,0.149,0.55,135.997,audio_features,7uLFOXgLrS90tEYPO1DGXy,spotify:track:7uLFOXgLrS90tEYPO1DGXy,https://api.spotify.com/v1/tracks/7uLFOXgLrS90tEYPO1DGXy,https://api.spotify.com/v1/audio-analysis/7uLFOXgLrS90tEYPO1DGXy,215304,4,A Boogie Wit da Hoodie,Man in the Mirror
0.826,0.583,2,-5.186,0,0.0626,0.441,0.0,0.155,0.539,140.039,audio_features,6g6FfeozIEkVUXecpSq16Q,spotify:track:6g6FfeozIEkVUXecpSq16Q,https://api.spotify.com/v1/tracks/6g6FfeozIEkVUXecpSq16Q,https://api.spotify.com/v1/audio-analysis/6g6FfeozIEkVUXecpSq16Q,205759,4,DDG,Elon Musk (feat. Gunna)
0.474,0.801,8,-5.978,0,0.375,0.102,0.0,0.322,0.497,147.356,audio_features,4huBDGP4I3S0pYI0EaRN1c,spotify:track:4huBDGP4I3S0pYI0EaRN1c,https://api.spotify.com/v1/tracks/4huBDGP4I3S0pYI0EaRN1c,https://api.spotify.com/v1/audio-analysis/4huBDGP4I3S0pYI0EaRN1c,256000,4,Fivio Foreign,City of Gods
0.762,0.649,11,-5.624,0,0.0527,0.58,1.7e-05,0.0971,0.501,145.09,audio_features,1WGmhglF1ghRiHsx4YUq86,spotify:track:1WGmhglF1ghRiHsx4YUq86,https://api.spotify.com/v1/tracks/1WGmhglF1ghRiHsx4YUq86,https://api.spotify.com/v1/audio-analysis/1WGmhglF1ghRiHsx4YUq86,239146,4,Kodak Black,Love & War
0.81,0.665,10,-4.13,0,0.265,0.233,0.0,0.552,0.736,141.051,audio_features,1ZW0BRFvZv57uNH2Y53QNb,spotify:track:1ZW0BRFvZv57uNH2Y53QNb,https://api.spotify.com/v1/tracks/1ZW0BRFvZv57uNH2Y53QNb,https://api.spotify.com/v1/audio-analysis/1ZW0BRFvZv57uNH2Y53QNb,155745,4,Mike Dimes,BACKROOM
0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251,audio_features,0lEjxUUlKqjqXrVlIHFduD,spotify:track:0lEjxUUlKqjqXrVlIHFduD,https://api.spotify.com/v1/tracks/0lEjxUUlKqjqXrVlIHFduD,https://api.spotify.com/v1/audio-analysis/0lEjxUUlKqjqXrVlIHFduD,193347,4,Gunna,P power (feat. Drake)
0.863,0.499,7,-8.602,0,0.514,0.0758,0.0,0.104,0.76,80.073,audio_features,1NVp7VnSVUJalgIBCIkh0w,spotify:track:1NVp7VnSVUJalgIBCIkh0w,https://api.spotify.com/v1/tracks/1NVp7VnSVUJalgIBCIkh0w,https://api.spotify.com/v1/audio-analysis/1NVp7VnSVUJalgIBCIkh0w,156996,4,Hunxho,Let's Get It (Remix) [feat. 21 Savage]
0.57,0.573,5,-6.935,1,0.476,0.156,0.0,0.256,0.517,76.006,audio_features,0cp97b37sFNsdIbQH6po3T,spotify:track:0cp97b37sFNsdIbQH6po3T,https://api.spotify.com/v1/tracks/0cp97b37sFNsdIbQH6po3T,https://api.spotify.com/v1/audio-analysis/0cp97b37sFNsdIbQH6po3T,229938,4,JID,Surround Sound (feat. 21 Savage & Baby Tate)
