id,title,artists,pp_artist
2Dp0QLXSfuGr5XVlLwzXLk,Ride,"['Chase Rice', 'Macy Maloy']",Chase Rice / Macy Maloy
2XKW8CH8nRZH9cF2DNjBHN,Day After Day - Remastered 2010,['Badfinger'],Badfinger
3lYLrCyDzd7WN7mN4T9AkX,Stereo Love,"['Edward Maya', 'Vika Jigulina']",Edward Maya / Vika Jigulina
6jMRqEHVRC3iamsSscJlbz,Life To Come,['The Killers'],The Killers
7pOWWGpUc3T05IXfymgIP3,This Magic Moment,['The Drifters'],The Drifters
3sqcx53QeAZ4F9tSNpbbM3,Suburban Kings,['Tom DeLonge'],Tom DeLonge
6TkbGaUQOBdCf5EBDezN2S,Out of Reach,['The Get Up Kids'],The Get Up Kids
42ydLwx4i5V49RXHOozJZq,Scars To Your Beautiful,['Alessia Cara'],Alessia Cara
0UAJH0k4k3slcE83a9UGCe,Lola,['The Kinks'],The Kinks
47IFGOYEZifpzbkEG2MuGW,90's Kid,['Jordan Rabjohn'],Jordan Rabjohn
3sqZDdEO5viqNqMCNem5m5,Stir It Up - Original Album Version,['Bob Marley & The Wailers'],Bob Marley & The Wailers
6xMHglHoafdDFGXS6qfwSH,Hot Blooded,['Foreigner'],Foreigner
6IRtUdofXMANdsFYnJZ9WT,FRIDAY (feat. Trippie Redd),"['Jeris Johnson', 'Trippie Redd']",Jeris Johnson / Trippie Redd
7gaQtc0vrSpmRJpSMDiPEk,All Night Long (All Night),['Lionel Richie'],Lionel Richie
14lWE5ccfrJa8TGmPYovrZ,Yo Quiero,"['Gente De Zona', 'Pitbull']",Gente De Zona / Pitbull
0qnJvMjpRizhzxCuO4gBOP,Right Now,['Asking Alexandria'],Asking Alexandria
1cM3Yg2598GAgtV8uu2hBZ,Atlas Hands,['Benjamin Francis Leftwich'],Benjamin Francis Leftwich
0VLdJcQUsqHBBwqPp4CIKJ,Aeroplane,['Red Hot Chili Peppers'],Red Hot Chili Peppers
0R5w0gGpRjrGBF6DEYC2nI,Everybody Wants To Be Like You,['Snow'],Snow
59TAO6kS2PquRw1pAJVh4Q,Eclipse,['Jim Yosef'],Jim Yosef
